NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 323,L,Ya,2,SMP,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,133000000,"Rp49.000.000,00",18,2,tidak
Pembeli 324,P,Tidak,0,SMP,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Ya,Ya,148000000,"Rp45.000.000,00",18,1,ya
Pembeli 325,L,Ya,3+,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,146000000,"Rp49.000.000,00",18,1,ya
Pembeli 326,L,Ya,1,SMP,Wiraswasta,> 30jt,10jt s.d. <20jt,Tanah,Ya,Ya,103000000,"Rp45.000.000,00",18,1,ya
Pembeli 327,L,Tidak,0,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,101000000,"Rp22.000.000,00",18,2+,ya
Pembeli 328,L,Ya,0,SMP,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,101000000,"Rp28.000.000,00",18,1,ya
Pembeli 329,P,Ya,0,SD,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,183000000,"Rp68.000.000,00",18,2,ya
Pembeli 330,P,Tidak,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,189000000,"Rp75.000.000,00",18,0,ya
Pembeli 331,L,Tidak,1,SD,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,191000000,"Rp77.000.000,00",18,1,ya
Pembeli 332,L,Tidak,0,SD,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,103000000,"Rp45.000.000,00",18,1,ya
Pembeli 333,L,Tidak,,SD,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Ya,Ya,187000000,"Rp93.000.000,00",18,2+,ya
Pembeli 334,L,Ya,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,185000000,"Rp80.000.000,00",12,1,tidak
Pembeli 335,,Ya,1,SD,PNS,10jt s.d. <20jt,< 1jt,Rumah,Ya,Ya,245000000,"Rp89.000.000,00",12,0,ya
Pembeli 336,L,Ya,,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,113000000,"Rp38.000.000,00",12,2+,tidak
Pembeli 337,L,Ya,1,SD,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,138000000,"Rp36.000.000,00",18,1,tidak
Pembeli 338,L,Ya,2,SMP,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,146000000,"Rp15.000.000,00",18,0,tidak
Pembeli 339,P,Tidak,3+,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,234000000,"Rp93.000.000,00",18,2,ya
Pembeli 340,P,Tidak,0,SD,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,145000000,"Rp33.000.000,00",18,2,ya
Pembeli 341,L,Ya,3+,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,115000000,"Rp10.000.000,00",18,1,ya
Pembeli 342,P,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,124000000,"Rp11.000.000,00",18,2,tidak
Pembeli 343,L,Ya,1,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,224000000,"Rp60.000.000,00",18,2,ya
Pembeli 344,L,Ya,3+,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,146000000,"Rp40.000.000,00",18,2,tidak
Pembeli 345,L,Ya,2,PascaSarjana,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Ya,Ya,150000000,"Rp17.000.000,00",18,0,ya
Pembeli 346,L,Ya,0,SMP,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,125000000,"Rp17.000.000,00",18,2,ya
Pembeli 347,L,Ya,,SMA,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,111000000,"Rp43.000.000,00",18,2,ya
Pembeli 348,L,Ya,2,SMP,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,192000000,"Rp50.000.000,00",18,2,tidak
Pembeli 349,L,Ya,0,Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,116000000,"Rp14.000.000,00",18,0,ya
Pembeli 350,L,Ya,0,SMP,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,123000000,"Rp35.000.000,00",18,0,ya
Pembeli 351,L,Ya,0,SD,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,125000000,"Rp14.000.000,00",18,1,ya
Pembeli 352,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,148000000,"Rp48.000.000,00",18,1,tidak
Pembeli 353,L,Ya,3+,SMA,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,147000000,"Rp16.000.000,00",18,2+,tidak
Pembeli 354,P,Ya,0,SMP,PNS,10jt s.d. <20jt,< 1jt,Tanah,Ya,Ya,147000000,"Rp32.000.000,00",18,2,ya
Pembeli 355,P,Ya,0,SD,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,126000000,"Rp25.000.000,00",18,1,ya
Pembeli 356,P,Tidak,,SD,PNS,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,241000000,"Rp50.000.000,00",12,0,ya
Pembeli 357,L,Ya,2,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,113000000,"Rp35.000.000,00",18,1,tidak
Pembeli 358,L,Ya,1,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,182000000,"Rp98.000.000,00",18,0,ya
Pembeli 359,L,Ya,0,SD,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,214000000,"Rp94.000.000,00",24,1,tidak
Pembeli 360,L,Ya,3+,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,117000000,"Rp33.000.000,00",18,0,tidak
Pembeli 361,P,Tidak,1,PascaSarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,100000000,"Rp24.000.000,00",18,1,ya
Pembeli 362,L,Ya,2,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,145000000,"Rp12.000.000,00",18,0,tidak
Pembeli 363,L,Ya,0,SD,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,233000000,"Rp59.000.000,00",18,0,ya
Pembeli 364,L,Ya,0,PascaSarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,240000000,"Rp67.000.000,00",18,0,ya
Pembeli 365,L,Tidak,0,SMP,Wiraswasta,> 30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,134000000,"Rp31.000.000,00",18,1,ya
Pembeli 366,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,120000000,"Rp15.000.000,00",18,1,tidak
Pembeli 367,L,Tidak,0,Sarjana,PNS,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,133000000,"Rp44.000.000,00",24,2+,ya
Pembeli 368,L,Tidak,0,SMP,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,125000000,"Rp44.000.000,00",18,1,ya
Pembeli 369,L,Ya,1,PascaSarjana,Wiraswasta,> 30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,132000000,"Rp18.000.000,00",18,0,ya
Pembeli 370,L,Ya,0,SMA,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,130000000,"Rp28.000.000,00",18,2,ya
Pembeli 371,P,Tidak,0,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,131000000,"Rp31.000.000,00",18,2+,tidak
Pembeli 372,L,Ya,2,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,101000000,"Rp42.000.000,00",18,1,tidak
Pembeli 373,L,Ya,2,PascaSarjana,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,142000000,"Rp28.000.000,00",18,1,ya
Pembeli 374,L,Tidak,1,SMA,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,250000000,"Rp80.000.000,00",12,0,ya
Pembeli 375,P,Tidak,0,SMP,PNS,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,186000000,"Rp86.000.000,00",18,0,ya
Pembeli 376,L,Ya,0,SMA,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,199000000,"Rp54.000.000,00",12,2,ya
Pembeli 377,L,Ya,3+,SD,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,119000000,"Rp30.000.000,00",18,2+,tidak
Pembeli 378,L,Ya,0,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,130000000,"Rp22.000.000,00",18,0,ya
Pembeli 379,L,Tidak,0,SMP,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,239000000,"Rp75.000.000,00",24,2,ya
Pembeli 380,L,Ya,2,Sarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,189000000,"Rp95.000.000,00",18,2,ya
Pembeli 381,L,Ya,0,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,125000000,"Rp42.000.000,00",18,2+,ya
Pembeli 382,L,Tidak,0,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,122000000,"Rp25.000.000,00",18,0,ya
Pembeli 383,P,Tidak,0,Sarjana,PNS,10jt s.d. <20jt,< 1jt,Rumah,Ya,Ya,213000000,"Rp93.000.000,00",18,2+,ya
Pembeli 384,L,Tidak,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,199000000,"Rp55.000.000,00",18,2,ya
Pembeli 385,L,Ya,2,Sarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,184000000,"Rp94.000.000,00",18,1,tidak
Pembeli 386,L,Tidak,1,Sarjana,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,221000000,"Rp82.000.000,00",12,2,ya
Pembeli 387,L,Tidak,0,SD,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,132000000,"Rp47.000.000,00",18,0,tidak
Pembeli 388,L,Ya,0,SD,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,220000000,"Rp64.000.000,00",18,2,tidak
Pembeli 389,L,Ya,0,SMP,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,221000000,"Rp75.000.000,00",18,2,tidak
Pembeli 390,L,Ya,0,SMA,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,113000000,"Rp31.000.000,00",18,1,ya
Pembeli 391,L,Tidak,3+,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,127000000,"Rp17.000.000,00",18,0,tidak
Pembeli 392,L,Ya,3+,SD,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,103000000,"Rp39.000.000,00",18,1,ya
Pembeli 393,L,Ya,0,Sarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,212000000,"Rp84.000.000,00",18,1,tidak
Pembeli 394,L,Ya,2,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,110000000,"Rp24.000.000,00",12,0,tidak
Pembeli 395,L,Ya,2,Sarjana,Wiraswasta,> 30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,245000000,"Rp95.000.000,00",18,2+,ya
Pembeli 396,L,Ya,2,SD,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,141000000,"Rp40.000.000,00",18,0,tidak
Pembeli 397,P,Tidak,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,192000000,"Rp93.000.000,00",18,2,ya
Pembeli 398,L,Ya,0,SMP,POLRI-TNI,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,187000000,"Rp60.000.000,00",18,0,ya
Pembeli 399,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,117000000,"Rp22.000.000,00",18,1,tidak
Pembeli 400,P,Tidak,0,PascaSarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,150000000,"Rp33.000.000,00",18,1,ya
Pembeli 401,L,Ya,2,Sarjana,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,217000000,"Rp91.000.000,00",12,2,ya
Pembeli 402,L,Tidak,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,100000000,"Rp17.000.000,00",18,1,ya
Pembeli 403,L,Tidak,0,SD,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Ya,Ya,105000000,"Rp46.000.000,00",18,2+,ya
Pembeli 404,P,Tidak,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,119000000,"Rp35.000.000,00",18,0,ya
Pembeli 405,P,Tidak,0,SD,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,114000000,"Rp27.000.000,00",18,0,tidak
Pembeli 406,P,Tidak,0,SMP,Wiraswasta,> 30jt,5jt s.d. <10jt,Tanah,Ya,Ya,141000000,"Rp38.000.000,00",18,2,ya
Pembeli 407,L,Ya,0,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,191000000,"Rp85.000.000,00",18,1,tidak
Pembeli 408,P,Tidak,0,SD,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,141000000,"Rp23.000.000,00",18,2+,tidak
Pembeli 409,L,Ya,1,SMP,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,141000000,"Rp33.000.000,00",18,2,tidak
Pembeli 410,L,Ya,3+,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,129000000,"Rp18.000.000,00",18,2,ya
Pembeli 411,P,Tidak,1,PascaSarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Ya,Ya,123000000,"Rp49.000.000,00",18,0,ya
Pembeli 412,L,Ya,0,SMP,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,204000000,"Rp95.000.000,00",18,2,ya
Pembeli 413,L,Ya,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,124000000,"Rp43.000.000,00",18,0,tidak
Pembeli 414,L,Ya,0,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,135000000,"Rp26.000.000,00",18,0,tidak
Pembeli 415,P,Ya,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,117000000,"Rp14.000.000,00",18,1,ya
Pembeli 416,P,Tidak,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Rumah,Ya,Ya,181000000,"Rp64.000.000,00",18,1,ya
Pembeli 417,P,Tidak,1,PascaSarjana,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,187000000,"Rp86.000.000,00",18,1,tidak
Pembeli 418,L,Ya,2,SMP,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,227000000,"Rp75.000.000,00",18,1,tidak
Pembeli 419,L,Ya,0,SMA,Wiraswasta,> 30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,123000000,"Rp43.000.000,00",18,2+,ya
Pembeli 420,L,Ya,0,SMP,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,143000000,"Rp27.000.000,00",18,2+,ya
Pembeli 421,L,Ya,0,SD,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,122000000,"Rp15.000.000,00",18,1,ya
Pembeli 422,P,Tidak,0,Sarjana,PNS,1jt s.d. <5jt,< 1jt,Rumah,Ya,Ya,226000000,"Rp72.000.000,00",12,1,tidak
Pembeli 423,L,Ya,0,SMA,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,212000000,"Rp93.000.000,00",18,2,ya
Pembeli 424,L,Ya,1,PascaSarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Rumah,Ya,Ya,225000000,"Rp62.000.000,00",12,1,tidak
Pembeli 425,L,Ya,0,SMP,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,122000000,"Rp15.000.000,00",18,0,tidak
Pembeli 426,L,Ya,0,SD,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,149000000,"Rp25.000.000,00",18,1,tidak
Pembeli 427,P,Tidak,1,Sarjana,PNS,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,138000000,"Rp19.000.000,00",18,0,tidak
Pembeli 428,L,Ya,2,Sarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Ya,Ya,112000000,"Rp50.000.000,00",18,0,ya
Pembeli 429,L,Ya,0,SD,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,142000000,"Rp20.000.000,00",18,2,ya
Pembeli 430,L,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,184000000,"Rp74.000.000,00",12,1,tidak
Pembeli 431,P,Tidak,1,PascaSarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,128000000,"Rp14.000.000,00",18,0,tidak
Pembeli 432,L,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,102000000,"Rp29.000.000,00",18,2+,tidak
Pembeli 433,L,Tidak,0,SD,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,110000000,"Rp16.000.000,00",18,2+,tidak
Pembeli 434,L,Ya,0,SMP,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,133000000,"Rp14.000.000,00",18,2+,ya
Pembeli 435,L,Tidak,0,PascaSarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,204000000,"Rp53.000.000,00",18,2+,ya
Pembeli 436,P,,,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,126000000,"Rp43.000.000,00",12,2,tidak
Pembeli 437,L,Tidak,0,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,103000000,"Rp13.000.000,00",18,2,tidak
Pembeli 438,L,Ya,0,SD,PNS,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,236000000,"Rp52.000.000,00",18,0,ya
Pembeli 439,L,Tidak,0,PascaSarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,205000000,"Rp87.000.000,00",18,1,tidak
Pembeli 440,P,Ya,0,SMA,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,103000000,"Rp27.000.000,00",18,2,ya
Pembeli 441,L,Tidak,0,SD,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,147000000,"Rp50.000.000,00",18,2+,ya
Pembeli 442,L,Ya,0,SMA,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,142000000,"Rp32.000.000,00",18,1,ya
Pembeli 443,L,Tidak,3+,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,124000000,"Rp44.000.000,00",18,2,tidak
Pembeli 444,L,Tidak,1,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,124000000,"Rp29.000.000,00",18,0,tidak
Pembeli 445,L,Ya,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,104000000,"Rp39.000.000,00",18,0,tidak
Pembeli 446,L,Ya,1,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,121000000,"Rp21.000.000,00",18,1,ya
Pembeli 447,L,Ya,2,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,136000000,"Rp24.000.000,00",18,1,ya
Pembeli 448,L,Ya,0,PascaSarjana,Wiraswasta,5jt s.d. <10jt,10jt s.d. <20jt,Tanah,Tidak,Ya,104000000,"Rp17.000.000,00",18,2,ya
Pembeli 449,L,Ya,2,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,150000000,"Rp45.000.000,00",18,1,tidak
Pembeli 450,L,Tidak,1,Sarjana,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,143000000,"Rp25.000.000,00",18,0,ya
Pembeli 451,L,Ya,2,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,150000000,"Rp18.000.000,00",18,2+,ya
Pembeli 452,L,Ya,2,SMA,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Rumah,Tidak,Ya,232000000,"Rp87.000.000,00",18,0,ya
Pembeli 453,L,Ya,0,Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,101000000,"Rp50.000.000,00",18,1,ya
Pembeli 454,L,Ya,0,Sarjana,PNS,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,139000000,"Rp41.000.000,00",12,2,ya
Pembeli 455,L,Tidak,0,SD,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,138000000,"Rp22.000.000,00",18,0,ya
Pembeli 456,L,Ya,2,SMP,PNS,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,121000000,"Rp32.000.000,00",18,1,tidak
Pembeli 457,L,Ya,0,SMA,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Rumah,Ya,Ya,186000000,"Rp71.000.000,00",18,2+,tidak
Pembeli 458,L,Ya,0,SMA,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Tidak,Ya,225000000,"Rp80.000.000,00",18,2+,ya
Pembeli 459,L,Tidak,2,PascaSarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,119000000,"Rp34.000.000,00",18,2,ya
Pembeli 460,L,Ya,0,SMP,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,112000000,"Rp37.000.000,00",18,2+,tidak
Pembeli 461,,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,115000000,"Rp41.000.000,00",18,0,ya
Pembeli 462,L,Ya,3+,SD,PNS,10jt s.d. <20jt,< 1jt,Rumah,Ya,Ya,191000000,"Rp66.000.000,00",12,2,ya
Pembeli 463,L,Ya,0,SD,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,121000000,"Rp11.000.000,00",18,0,ya
Pembeli 464,P,Tidak,1,SMA,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Ya,Ya,137000000,"Rp47.000.000,00",18,2,ya
Pembeli 465,L,Tidak,0,SMA,Wiraswasta,> 30jt,5jt s.d. <10jt,Tanah,Ya,Ya,133000000,"Rp32.000.000,00",18,0,ya
Pembeli 466,L,Tidak,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,143000000,"Rp48.000.000,00",18,1,tidak
Pembeli 467,L,Ya,3+,SMP,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,238000000,"Rp60.000.000,00",12,2,tidak
Pembeli 468,,Ya,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,112000000,"Rp42.000.000,00",18,1,ya
Pembeli 469,P,Ya,2,SD,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,141000000,"Rp22.000.000,00",18,2+,ya
Pembeli 470,L,Ya,0,SMA,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,193000000,"Rp71.000.000,00",18,2,tidak
Pembeli 471,L,Ya,1,SMP,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,115000000,"Rp48.000.000,00",18,2,tidak
Pembeli 472,L,Ya,1,SMA,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,126000000,"Rp20.000.000,00",12,1,tidak
Pembeli 473,L,Ya,3+,PascaSarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,112000000,"Rp25.000.000,00",18,2+,ya
Pembeli 474,P,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,211000000,"Rp77.000.000,00",18,2+,tidak
Pembeli 475,L,Tidak,2,Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,133000000,"Rp10.000.000,00",18,2,ya
Pembeli 476,L,Ya,2,Sarjana,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,137000000,"Rp18.000.000,00",18,2,ya
Pembeli 477,L,Ya,2,SD,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,150000000,"Rp12.000.000,00",18,1,ya
Pembeli 478,,Ya,2,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,137000000,"Rp47.000.000,00",18,2,tidak
Pembeli 479,L,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,101000000,"Rp32.000.000,00",18,2+,ya
Pembeli 480,L,Ya,2,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,243000000,"Rp85.000.000,00",18,0,ya
Pembeli 481,P,Tidak,0,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,129000000,"Rp50.000.000,00",18,2,ya
Pembeli 482,L,Ya,3+,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,139000000,"Rp18.000.000,00",18,0,tidak
Pembeli 483,L,Ya,0,Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,112000000,"Rp30.000.000,00",18,1,ya
Pembeli 484,L,Ya,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,141000000,"Rp35.000.000,00",18,2,ya
Pembeli 485,L,Ya,2,SMP,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Ya,Ya,150000000,"Rp13.000.000,00",18,2+,ya
