"Nama Pembeli,Kelamin,Menikah,Tanggungan,Pendidikan (int),Pendidikan,Pekerjaan (int),Pekerjaan,PU (int),Pendapatan Utama,PT (int),Pemasukan Tambahan,Jenis Properti,NUP (int),NUP,BF (int),Booking Fee,Biaya Rumah/Tanah,Uang Muka,Periode Cicilan,Riwayat Pinjaman,Persetujuan Pembelian"
"Pembeli 301,L,Ya,0,2,SMP,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Rumah,1,Ya,1,Ya,191000000,73000000,18,2+,tidak"
"Pembeli 302,L,Ya,,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,123000000,45000000,18,1,tidak"
"Pembeli 303,P,Tidak,0,2,SMP,3,POLRI-TNI,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,106000000,12000000,18,2+,ya"
"Pembeli 304,L,Ya,1,4,Sarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,193000000,84000000,18,1,tidak"
"Pembeli 305,L,Tidak,0,2,SMP,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,123000000,24000000,18,2,tidak"
"Pembeli 306,L,Tidak,0,2,SMP,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Rumah,0,Tidak,1,Ya,228000000,61000000,18,1,ya"
"Pembeli 307,P,Tidak,0,1,SD,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,142000000,20000000,18,2+,ya"
"Pembeli 308,P,Tidak,0,5,PascaSarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,247000000,56000000,18,1,ya"
"Pembeli 309,L,Tidak,0,5,PascaSarjana,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,104000000,49000000,18,2+,tidak"
"Pembeli 310,L,Ya,2,3,SMA,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,136000000,14000000,18,0,ya"
"Pembeli 311,P,Tidak,0,4,Sarjana,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,122000000,44000000,18,0,ya"
"Pembeli 312,L,Tidak,0,3,SMA,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,111000000,47000000,18,2+,tidak"
"Pembeli 313,P,Tidak,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,106000000,32000000,18,1,tidak"
"Pembeli 314,L,Ya,2,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,129000000,18000000,12,0,ya"
"Pembeli 315,,Ya,0,2,SMP,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,141000000,44000000,18,2+,tidak"
"Pembeli 316,L,Ya,1,3,SMA,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,195000000,82000000,12,2,ya"
"Pembeli 317,L,Ya,2,1,SD,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,148000000,33000000,18,1,ya"
"Pembeli 318,L,Ya,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,180000000,58000000,18,0,tidak"
"Pembeli 319,P,Tidak,1,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Tanah,0,Tidak,1,Ya,146000000,41000000,18,1,ya"
"Pembeli 320,L,Ya,1,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,123000000,17000000,18,0,tidak"
"Pembeli 321,L,Ya,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,107000000,17000000,18,0,tidak"
"Pembeli 322,L,Ya,3+,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,148000000,34000000,18,2+,tidak"
"Pembeli 323,L,Ya,2,2,SMP,2,PNS,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,133000000,49000000,18,2,tidak"
"Pembeli 324,P,Tidak,0,2,SMP,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,148000000,45000000,18,1,ya"
"Pembeli 325,L,Ya,3+,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,146000000,49000000,18,1,ya"
"Pembeli 326,L,Ya,1,2,SMP,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,103000000,45000000,18,1,ya"
"Pembeli 327,L,Tidak,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,101000000,22000000,18,2+,ya"
"Pembeli 328,L,Ya,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,101000000,28000000,18,1,ya"
"Pembeli 329,P,Ya,0,1,SD,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,183000000,68000000,18,2,ya"
"Pembeli 330,P,Tidak,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,189000000,75000000,18,0,ya"
"Pembeli 331,L,Tidak,1,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,191000000,77000000,18,1,ya"
"Pembeli 332,L,Tidak,0,1,SD,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,103000000,45000000,18,1,ya"
"Pembeli 333,L,Tidak,,1,SD,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,187000000,93000000,18,2+,ya"
"Pembeli 334,L,Ya,0,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,185000000,80000000,12,1,tidak"
"Pembeli 335,,Ya,1,1,SD,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Rumah,1,Ya,1,Ya,245000000,89000000,12,0,ya"
"Pembeli 336,L,Ya,,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,113000000,38000000,12,2+,tidak"
"Pembeli 337,L,Ya,1,1,SD,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,138000000,36000000,18,1,tidak"
"Pembeli 338,L,Ya,2,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,146000000,15000000,18,0,tidak"
"Pembeli 339,P,Tidak,3+,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,234000000,93000000,18,2,ya"
"Pembeli 340,P,Tidak,0,1,SD,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,145000000,33000000,18,2,ya"
"Pembeli 341,L,Ya,3+,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,115000000,10000000,18,1,ya"
"Pembeli 342,P,Tidak,0,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,124000000,11000000,18,2,tidak"
"Pembeli 343,L,Ya,1,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,224000000,60000000,18,2,ya"
"Pembeli 344,L,Ya,3+,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,146000000,40000000,18,2,tidak"
"Pembeli 345,L,Ya,2,5,PascaSarjana,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,150000000,17000000,18,0,ya"
"Pembeli 346,L,Ya,0,2,SMP,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,125000000,17000000,18,2,ya"
"Pembeli 347,L,Ya,,3,SMA,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,111000000,43000000,18,2,ya"
"Pembeli 348,L,Ya,2,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,192000000,50000000,18,2,tidak"
"Pembeli 349,L,Ya,0,4,Sarjana,2,PNS,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,116000000,14000000,18,0,ya"
"Pembeli 350,L,Ya,0,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,123000000,35000000,18,0,ya"
"Pembeli 351,L,Ya,0,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,125000000,14000000,18,1,ya"
"Pembeli 352,L,Tidak,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,148000000,48000000,18,1,tidak"
"Pembeli 353,L,Ya,3+,3,SMA,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,147000000,16000000,18,2+,tidak"
"Pembeli 354,P,Ya,0,2,SMP,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Tanah,1,Ya,1,Ya,147000000,32000000,18,2,ya"
"Pembeli 355,P,Ya,0,1,SD,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,126000000,25000000,18,1,ya"
"Pembeli 356,P,Tidak,,1,SD,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,241000000,50000000,12,0,ya"
"Pembeli 357,L,Ya,2,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,113000000,35000000,18,1,tidak"
"Pembeli 358,L,Ya,1,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,182000000,98000000,18,0,ya"
"Pembeli 359,L,Ya,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,214000000,94000000,24,1,tidak"
"Pembeli 360,L,Ya,3+,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,117000000,33000000,18,0,tidak"
"Pembeli 361,P,Tidak,1,5,PascaSarjana,2,PNS,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,100000000,24000000,18,1,ya"
"Pembeli 362,L,Ya,2,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,145000000,12000000,18,0,tidak"
"Pembeli 363,L,Ya,0,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,233000000,59000000,18,0,ya"
"Pembeli 364,L,Ya,0,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,240000000,67000000,18,0,ya"
"Pembeli 365,L,Tidak,0,2,SMP,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,Tanah,0,Tidak,1,Ya,134000000,31000000,18,1,ya"
"Pembeli 366,L,Tidak,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,120000000,15000000,18,1,tidak"
"Pembeli 367,L,Tidak,0,4,Sarjana,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,133000000,44000000,24,2+,ya"
"Pembeli 368,L,Tidak,0,2,SMP,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,125000000,44000000,18,1,ya"
"Pembeli 369,L,Ya,1,5,PascaSarjana,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,Tanah,0,Tidak,1,Ya,132000000,18000000,18,0,ya"
"Pembeli 370,L,Ya,0,3,SMA,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,130000000,28000000,18,2,ya"
"Pembeli 371,P,Tidak,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,131000000,31000000,18,2+,tidak"
"Pembeli 372,L,Ya,2,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,101000000,42000000,18,1,tidak"
"Pembeli 373,L,Ya,2,5,PascaSarjana,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,142000000,28000000,18,1,ya"
"Pembeli 374,L,Tidak,1,3,SMA,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,250000000,80000000,12,0,ya"
"Pembeli 375,P,Tidak,0,2,SMP,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,186000000,86000000,18,0,ya"
"Pembeli 376,L,Ya,0,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,199000000,54000000,12,2,ya"
"Pembeli 377,L,Ya,3+,1,SD,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,119000000,30000000,18,2+,tidak"
"Pembeli 378,L,Ya,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,130000000,22000000,18,0,ya"
"Pembeli 379,L,Tidak,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,239000000,75000000,24,2,ya"
"Pembeli 380,L,Ya,2,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,189000000,95000000,18,2,ya"
"Pembeli 381,L,Ya,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,125000000,42000000,18,2+,ya"
"Pembeli 382,L,Tidak,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,122000000,25000000,18,0,ya"
"Pembeli 383,P,Tidak,0,4,Sarjana,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Rumah,1,Ya,1,Ya,213000000,93000000,18,2+,ya"
"Pembeli 384,L,Tidak,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,199000000,55000000,18,2,ya"
"Pembeli 385,L,Ya,2,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,184000000,94000000,18,1,tidak"
"Pembeli 386,L,Tidak,1,4,Sarjana,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,221000000,82000000,12,2,ya"
"Pembeli 387,L,Tidak,0,1,SD,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,132000000,47000000,18,0,tidak"
"Pembeli 388,L,Ya,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,220000000,64000000,18,2,tidak"
"Pembeli 389,L,Ya,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,221000000,75000000,18,2,tidak"
"Pembeli 390,L,Ya,0,3,SMA,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,113000000,31000000,18,1,ya"
"Pembeli 391,L,Tidak,3+,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,127000000,17000000,18,0,tidak"
"Pembeli 392,L,Ya,3+,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,103000000,39000000,18,1,ya"
"Pembeli 393,L,Ya,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,212000000,84000000,18,1,tidak"
"Pembeli 394,L,Ya,2,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,110000000,24000000,12,0,tidak"
"Pembeli 395,L,Ya,2,4,Sarjana,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,245000000,95000000,18,2+,ya"
"Pembeli 396,L,Ya,2,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,141000000,40000000,18,0,tidak"
"Pembeli 397,P,Tidak,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,192000000,93000000,18,2,ya"
"Pembeli 398,L,Ya,0,2,SMP,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,187000000,60000000,18,0,ya"
"Pembeli 399,L,Tidak,0,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,117000000,22000000,18,1,tidak"
"Pembeli 400,P,Tidak,0,5,PascaSarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,150000000,33000000,18,1,ya"
"Pembeli 401,L,Ya,2,4,Sarjana,3,POLRI-TNI,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,217000000,91000000,12,2,ya"
"Pembeli 402,L,Tidak,0,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,100000000,17000000,18,1,ya"
"Pembeli 403,L,Tidak,0,1,SD,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,1,Ya,1,Ya,105000000,46000000,18,2+,ya"
"Pembeli 404,P,Tidak,0,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,119000000,35000000,18,0,ya"
"Pembeli 405,P,Tidak,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,114000000,27000000,18,0,tidak"
"Pembeli 406,P,Tidak,0,2,SMP,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,141000000,38000000,18,2,ya"
"Pembeli 407,L,Ya,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,191000000,85000000,18,1,tidak"
"Pembeli 408,P,Tidak,0,1,SD,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,141000000,23000000,18,2+,tidak"
"Pembeli 409,L,Ya,1,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,141000000,33000000,18,2,tidak"
"Pembeli 410,L,Ya,3+,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,129000000,18000000,18,2,ya"
"Pembeli 411,P,Tidak,1,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,123000000,49000000,18,0,ya"
"Pembeli 412,L,Ya,0,2,SMP,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,204000000,95000000,18,2,ya"
"Pembeli 413,L,Ya,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,124000000,43000000,18,0,tidak"
"Pembeli 414,L,Ya,0,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,135000000,26000000,18,0,tidak"
"Pembeli 415,P,Ya,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,117000000,14000000,18,1,ya"
"Pembeli 416,P,Tidak,0,4,Sarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Rumah,1,Ya,1,Ya,181000000,64000000,18,1,ya"
"Pembeli 417,P,Tidak,1,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,187000000,86000000,18,1,tidak"
"Pembeli 418,L,Ya,2,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,227000000,75000000,18,1,tidak"
"Pembeli 419,L,Ya,0,3,SMA,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,123000000,43000000,18,2+,ya"
"Pembeli 420,L,Ya,0,2,SMP,3,POLRI-TNI,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,143000000,27000000,18,2+,ya"
"Pembeli 421,L,Ya,0,1,SD,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,122000000,15000000,18,1,ya"
"Pembeli 422,P,Tidak,0,4,Sarjana,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Rumah,1,Ya,1,Ya,226000000,72000000,12,1,tidak"
"Pembeli 423,L,Ya,0,3,SMA,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,212000000,93000000,18,2,ya"
"Pembeli 424,L,Ya,1,5,PascaSarjana,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Rumah,1,Ya,1,Ya,225000000,62000000,12,1,tidak"
"Pembeli 425,L,Ya,0,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,122000000,15000000,18,0,tidak"
"Pembeli 426,L,Ya,0,1,SD,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,149000000,25000000,18,1,tidak"
"Pembeli 427,P,Tidak,1,4,Sarjana,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,138000000,19000000,18,0,tidak"
"Pembeli 428,L,Ya,2,4,Sarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,112000000,50000000,18,0,ya"
"Pembeli 429,L,Ya,0,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,142000000,20000000,18,2,ya"
"Pembeli 430,L,Tidak,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,184000000,74000000,12,1,tidak"
"Pembeli 431,P,Tidak,1,5,PascaSarjana,2,PNS,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,128000000,14000000,18,0,tidak"
"Pembeli 432,L,Tidak,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,102000000,29000000,18,2+,tidak"
"Pembeli 433,L,Tidak,0,1,SD,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,110000000,16000000,18,2+,tidak"
"Pembeli 434,L,Ya,0,2,SMP,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Tanah,0,Tidak,1,Ya,133000000,14000000,18,2+,ya"
"Pembeli 435,L,Tidak,0,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,204000000,53000000,18,2+,ya"
"Pembeli 436,P,,,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,126000000,43000000,12,2,tidak"
"Pembeli 437,L,Tidak,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,103000000,13000000,18,2,tidak"
"Pembeli 438,L,Ya,0,1,SD,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,236000000,52000000,18,0,ya"
"Pembeli 439,L,Tidak,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,205000000,87000000,18,1,tidak"
"Pembeli 440,P,Ya,0,3,SMA,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,103000000,27000000,18,2,ya"
"Pembeli 441,L,Tidak,0,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,147000000,50000000,18,2+,ya"
"Pembeli 442,L,Ya,0,3,SMA,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,142000000,32000000,18,1,ya"
"Pembeli 443,L,Tidak,3+,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,124000000,44000000,18,2,tidak"
"Pembeli 444,L,Tidak,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,124000000,29000000,18,0,tidak"
"Pembeli 445,L,Ya,0,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,104000000,39000000,18,0,tidak"
"Pembeli 446,L,Ya,1,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,121000000,21000000,18,1,ya"
"Pembeli 447,L,Ya,2,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,136000000,24000000,18,1,ya"
"Pembeli 448,L,Ya,0,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,4,10jt s.d. <20jt,Tanah,0,Tidak,1,Ya,104000000,17000000,18,2,ya"
"Pembeli 449,L,Ya,2,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,150000000,45000000,18,1,tidak"
"Pembeli 450,L,Tidak,1,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,143000000,25000000,18,0,ya"
"Pembeli 451,L,Ya,2,4,Sarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,150000000,18000000,18,2+,ya"
